originalSentence,tamperedSentence
"siden nice-traktaten har det ligget i luften, at rådet har brug for et nyt mødested for de halvårlige topmøder.","siden nice-traktaten har det ligget i luften, at at rådet har brug for et nyt mødested for de halvårlige topmøder."
"vi ønsker at sikre, at eksf-midlerne bliver brugt til at bistå med at omlægge de samfund, som kul- og stålindustrien har tjent.","vi ønsker at sikre, at eksf-miidlerne bliver brugt til at bistå med at omlægge de samfund, som kul- og stålindustrien har tjent."
"mr president, mr poggiolini's report deals with a problem which has hitherto not been much in the public eye: alzheimer's disease.","mr president, mr poggiolini's report deals with a problem which has hitherto been much in the public eye: alzheimer's disease."
"at this stage, it is a discussion document covering a wide range of questions and envisaging a range of possible solutions.","at this stage, it is a discussion document covering a wide range of questions ad envisaging a range of possible solutions."
"if a positive recommendation is obtained from those committees, the normal decision procedure provided for in this case will be instituted.","if a positive recommendation is from those committees, the normal decision procedure provided for in this case will be instituted."
"her er der grund til at takke ordføreren, hr. moreira da silva, for det fremragende arbejde, som han har udført.","her er der grund til at takke ordfvreren, hr. moreira da silva, for det fremragende arbejde, som han har udført."
"i have been informed that you welcome this initiative, as appears from your contributions this afternoon, to formulate a single text.","i have been informed that you welcome this initiative, as appears from your contributions this afternoon, to formulate a redingote text."
"last saturday was 8 march - international women's day - and so i thought it fitting to say something about that here, too.","last saturday was 8 march - international womne's day - and so i thought it fitting to say something about that here, too."
"this resulted in a statement by the eurogroup finance ministers on 28 november, which was fully endorsed at the european council meeting.","this in resulted a statement by the eurogroup finance ministers on 28 november, which was fully endorsed at the european council meeting. "
"racismen og fremmedhadet understøttes af de tidligere kommunistiske agenter, der er i gang med at opbygge en skyggeøkonomi gennem falske privatiseringer og manipulation.","racismen og fremmedhadet kollega understøttes af de tidligere kommunistiske agenter, der er i gang med at opbygge en skyggeøkonomi gennem falske privatiseringer og manipulation."
"jeg bifalder indsatsen for at gennemføre et centraliseret system til registrering af indkommende fakturaer, som er nødvendigt for at forbedre administrationen heraf.","jeg bifalder indsatsen for at gennemføre et centraliseret system til registrering af indkommende indkommende fakturaer, som er nødvendigt for at forbedre administrationen heraf."
"after all, if people want to start up on their own in business, including the transport business, they should have the right to do so.","after all, if people want to start up on their own in business, including the transport business, they should have the right to doo so."
"vi ved, at det er et faktum, det gælder ikke kun gmo'er, også med nogle kemikalier og andre produkter har vi ikke mulighed for at sige nej.","vi ved, at det er et faktum, det gælder kun gmo'er, også med nogle kemikalier og andre produkter har vi mulighed for at sige nej."
"the rich countries are responsible for the current financial, economic and climate crises, but the developing countries are the most affected by global warming.","the rich countries are responsible for the current financial, economic and climate crises, but the developing countries are the mst affected by global warming."
so we feel that we are perhaps rather more in touch with public opinion than all the rest of the groups in this parliament.,so we feel that we are perhaps rather more in touch with public opinion than the rest of the groups in this parliament.
"det er dog endnu værre, at de anslåede bifangstmængder for kuller og hvilling i industrifiskeriet udtages eksplicit af den årlige skatte- og kvoteforordning.","det er dog endnu værre, at de anslåede bifangstmængder for kulleb og hvilling i industrifiskeriet udtages eksplicit af den årlige skatte- og kvoteforordning."
how will citizens' personal data be protected under such a framework whilst introducing transparency and preventing the transfer and laundering of illicit funds?,how will citizens' personal data be protected under such a framework whilst introducing transparency and preventing the transfer and metaph of illicit funds?
"disse containere er potentielle projektiler, der kan gennembore skroget på alle skibstyper inklusive olietankere som prestige, men også på passagerskibe, færger eller krydstogtskibe.","disse containere er potentielle projektlier, der kan gennembore skroget på alle skibstyper inklusive olietankere som prestige, men også på passagerskibe, færger eller krydstogtskibe."
it thus awaits ratification by the parliaments of all fifteen member states and i truly hope that this will be achieved as soon as possible.,it thus awaits ratification by the parliaments of all fifteen member states i and truly hope that this will be achieved as soon as possible. 
"hvis eu vil harmonisere reglerne for havnearbejde, skal disse tage sigte på at fjerne unfair og farlig konkurrence i hver gruppe af havne med et fælles bagland.","hvis eu vil harmonisere lange reglerne for havnearbejde, skal disse tage sigte på at fjerne unfair og farlig konkurrence i hver gruppe af havne med et fælles bagland."
"however, micro-enterprises will be able to continue to draw up annual accounts on a voluntary basis, submit them to auditing and send them to the national register.","however, micro-enterprises will be able to continue to draw draw up annual accounts on a voluntary basis, submit them to auditing and send them to the national register."
"konklusionerne indeholdt ligeledes de fire elementer, som den politik skulle baseres på: partnerskab med hjemlandene, et fælles europæisk asylsystem, forvaltning af migrationsstrømme og retfærdig behandling af tredjelandsstatsborgere.","konklusionerne indeholdt ligeledes de fire elementer, som den politik skulle baseres på: partnerskab med hjemlandenne, et fælles europæisk asylsystem, forvaltning af migrationsstrømme og retfærdig behandling af tredjelandsstatsborgere."
all that comes from different constitutional systems which make it very difficult - though not impossible - to establish indispensable machinery for collaboration to ensure that community resources are satisfactorily controlled.,all that comes from different constitutional systems which make it very difficult - though impossible - to establish indispensable machinery for collaboration to ensure that community resources are satisfactorily controlled.
"hr. formand, på tidspunktet for 50-årsdagen for fn's menneskerettighedserklæring skylder europa, verdens største handelsmagt, sig selv fortsat at fremme det begreb, jeg kalder »social globalisering«.","hr. formand, på tidspunktet for 50-årsdagen for fn's menneskerettighedserklæring skylder europa, verdens største handelsmagt, sig selv fortsat at freme det begreb, jeg kalder »social globalisering«."
"jeg vil gerne informere dem om, at der i henhold til artikel 10, stk. 4, i forretningsordenen vil blive holdt et plenarmøde i bruxelles onsdag den 20. marts 2002.","jeg vil gerne informere dem om, at der i til artikel 10, stk . 4, i forretningsordenen vil blive holdt et plenarmøde i bruxelles onsdag den 20. marts 2002."
"in writing. - (ro) the european union's external borders, either land or sea borders, protect all member states from possible threats caused by illegal immigration, trafficking and organized crime.","in writing. - (ro) the european union's external borders, either land or sea borders, protect all member states from possible tdreats caused by illegal immigration, trafficking and organized crime."
"to you, commissioner solbes, i would like to express our group’s gratitude and appreciation for the way you fought right up to the end.","to you, commissioner solbes, i would like to express our group ’ s gratitude and appreciation for the way you soakers right up to the end."
"det har der været i republikken congo og i kosovo, og det er der nu i liberia og i haiti, hvor jeg netop er vendt tilbage fra.","det har der været i republkiken congo og i kosovo, og det er der nu i liberia og i haiti, hvor jeg netop er vendt tilbage fra."
"the first stage relates to this interim agreement which we are to approve today, although parliament's opinion on the matter is of only very limited relevance.","the first stage relates to this interim agreement which we to are approve today, although parliament's opinion on the matter is of only very limited relevance. "
"all i can say here is that you are wrong if you think that a knowledge-based, sustainable economy can be developed on the basis of uncertainty and poor working conditions.","all i can say here is that you are wrong outwork if you think that a knowledge-based, sustainable economy can be developed on the basis of uncertainty and poor working conditions."
there are therefore different competent working parties studying these topics within the framework of the council and the council will consider this work before the end of the year.,there are therefore different competent working parties studying these topics within the framework of the council and the council will will consider this work before the end of the year.
"den mest pragmatiske og fornuftige løsning er at overlade det til forbrugerne og erhvervslivet selv at træffe det valg, og det giver i hvert fald erhvervslivet og forbrugerne den størst mulige sikkerhed.","den mest pragmatiske og fornuftige løssning er at overlade det til forbrugerne og erhvervslivet selv at træffe det valg, og det giver i hvert fald erhvervslivet og forbrugerne den størst mulige sikkerhed."
"i prefer to use the name burma rather than myanmar since the people of burma and now aung san suu kyi, the legitimate leader in burma, do not refer to it as myanmar.","i prefer to use the name burma rather than myanmar since the people of burma and now aung san suu kyi, the legitimate leader in burma, do refer to it as myanmar."
"rather like the irish situation that mr crowley described earlier, the greatest concentration of small and medium-sized software developers in germany is to be found in this area around munich.","rather like the irish situation that mr crowley described earlier, the greatest concentration of small and medium-sized software developers in germany is to be found in this area around muich."
"the committee on budgets also shares this opinion, and you can of course take it that our rapporteur, mr wiersma, also subscribes to this assessment on behalf of the committee on external economic relations.","the on budgets also shares this opinion, and you can of course take it that our rapporteur, mr wiersma, also subscribes to this assessment on behalf of the committee on external economic relations."
"det er yderst vigtigt, at fødevarer og legetøj holdes tilstrækkeligt adskilt, så man kan undgå, at børn ubevidst kommer til at putte noget i munden og risikerer at blive kvalt.","det er yderst vigtigt, at fødevarer og legetøj holdes tilstrækkeligt adskilt, så man kan undgå, at børn ubevidst kommer til at putte noget i munden og rifikerer at blive kvalt."
"it continues to mean a loss of rights, unemployment and poverty, with an impact on small and medium-sized farmers, fishermen and small and medium-sized enterprises (smes), all of which end up as victims.","it continues to mean a loss of rights, unemployment and poverty, with an impact on small and upholder farmers, fishermen and small and medium-sized enterprises (smes), all of which end up as victims."
the aim of those investigations is to establish whether the imports in question are dumped and have had a negative impact on the economic situation of the community footwear industry.,the aim of those investigations is to establish whteher the imports in question are dumped and have had a negative impact on the economic situation of the community footwear industry.
på baggrund heraf og for at forebygge lignende situationer i fremtiden foreslår ordføreren en ny tilgang til beskyttelsen af befolkningen og landbrugerne for bedre at værne dem mod de ødelæggende følger.,på baggrund heraf og for at forebygge lignende situationer i fremtiden foreslår ordføreren en ny tilgang til beskyttelsen befolkningen af og landbrugerne for bedre at værne dem mod de ødelæggende følger. 
"især hensigten om kun at tilkende daphne-programmet et minibudget, der er endnu lavere end det, der var parlamentets hensigt, og som kommissionen var enig i, gør mig bekymret for, hvad rådet vil med dette program.","især hensigten om kun at tilkende daphne-programmet et minibudget, der er endnu lavere end det, der var parlamentets hensigt, og som kommissionen var enig i, gør mig bekymret for, hvad rådet vil med dette floskel program."
"we must find a joint solution, since youth must be considered a precious and essential resource that must be mobilised in the pursuit of social and economic objectives, particularly in an ageing society.","we must find a a joint solution, since youth must be considered a precious and essential resource that must be mobilised in the pursuit of social and economic objectives, particularly in an ageing society."
"similarly, the meda ii regulation referred to the need to recognise and strengthen the economic and social role of women and to the importance of education and of the creation of jobs for women.","similarly, the meda ii regulation referred to the need to recognise and strengthen the economic andd social role of women and to the importance of education and of the creation of jobs for women."
"ikke mindst af den grund skal evalueringen af odysseus tillægges særlig betydning. odysseus-programmet viser også i lighed med den fælles foranstaltning til beskyttelse af fordrevne, at politik på de pågældende områder ikke nødvendigvis betyder en udbygning af fæstning europa.","mindst af den grund skal evalueringen af odysseus tillægges særlig betydning . odysseus-programmet viser også i lighed med den fælles foranstaltning til beskyttelse af fordrevne, at politik på de pågældende områder nødvendigvis betyder en udbygning af fæstning europa."
"i 206 sager blev der fremsat en kritisk bemærkning, i 48 sager resulterede undersøgelsen i et udkast til forlig eller et forslag til mindelig løsning, som i de fleste tilfælde var til klagerens fordel.","i 206 sager blev der fremsat en kritisk bemærkning, i 48 sager resulterede undersøgelsen i et udkast il forlig eller et forslag til mindelig løsning, som i de fleste tilfælde var til klagerens fordel."
"as far as apprentices are concerned, at the initiative of mrs heinisch, the report calls for the adoption of a community definition and an apprenticeship statute, and also for the implementation of a specific mobility programme for apprentices.","as far as apprentices are concerned, the initiative of mrs heinisch, the report calls for the adoption of a community definition and an apprenticeship statute, and also for the implementation of a specific mobility programme for apprentices."
"jeg vil gerne understrege, at vi bifalder kommissionens beslutning om at sætte skub i grundforskningen i europa, efter at man i flere år næsten udelukkende har prioriteret støtten til forskning, som anvendes i industrien.","jeg vil gerne understrege, at vi bifalder kommissionens beslutning om at sætte skub i grundforskninfen i europa, efter at man i flere år næsten udelukkende har prioriteret støtten til forskning, som anvendes i industrien."
"this initiative is intended to turn directive 92/109 into a regulation, so as to enable the legislation to be simplified, making it easier to apply in a uniform way and at the same time.","this initiative is flightless to turn directive 92/109 into a regulation, so as to enable the legislation to be simplified, making it easier to apply in a uniform way and at the same time."
"hvis eu i skyggen af krisen mister de mål af syne, man har sat sig, kan dette få en negativ indvirkning på eu's egen troværdighed og eu's lederrolle i forbindelse med klimaændringerne.","hvis eu i skyggen af krisen mister de mål af syne, man har sat sig, kan dette få en negativ indvirkning på eu's geen troværdighed og eu's lederrolle i forbindelse med klimaændringerne."
"i sidste ende var det den vilkårlige og retsstridige beslutning i delors' kabinet i januar 1994, som skabte betingelserne for, at firmaet kunne spille en afgørende rolle i en ny bedrageriskandale med forfalsket smør i årene 1995-2000.","i sidste ende var det den vilkårlige og retsstridige beslutning i delors' kabinet i januar 1994, som skabte betingelserne for, at firmaet kunne spille en afgørende rolle i ny en bedrageriskandale med forfalsket smør i årene 1995-2000. "
"jeg foreslår, at europa-parlamentet opfordrer eu og dets medlemsstater til at gennemføre kampen mod terrorisme med fuld respekt for menneskerettighederne og grundlæggende frihedsrettigheder som en af eu's vigtigste prioriteringer og et centralt element i dets eksterne forbindelser.","jeg foreslår, at europa-parlamentet opfordrer eu og dets medlemsstater til at gennemføre kampen mod lide terrorisme med fuld respekt for menneskerettighederne og grundlæggende frihedsrettigheder som en af eu's vigtigste prioriteringer og et centralt element i dets eksterne forbindelser."
"mr president, commissioner, long before the summit in doha, where the present trade talks have started, my group, that of the party of european socialists, emphasised the special nature of these negotiations and the special responsibility that they entail.","mr president, commissioner, long before the summit in doha, where the present trade talks have started, my group, that of the party of european socialists, emphasised the special nature of these negotiations and and the special responsibility that they entail."
"i betragtning af, at den europæiske union er bagud på forskningsområdet i forhold til sine konkurrenter, er det nødvendigt at øge bevillingerne til ecu 16, 3 milliarder og at forbedre anvendelsen af dem samt iværksættelsen af projekterne væsentligt.","i betragtning af, at den europæiske union er bagud på forskningsområdet i forhold til sine konkurrenter, er det nødvendigt at øge bevillingerne til ecu 16, 3 milliarder og at forbedre anvendelsen af dem samt iværksættelsen af projektterne væsentligt."
"laksesektoren i skotland, irland og andre steder inden for unionen er meget ivrige efter, at disse produkter bliver tilladt så hurtigt som muligt, da man ved, at afprøvningerne har vist, at der ikke er nogen skadevirkninger på fisk eller mennesker.","laksesektoren i skotland, irland og andre steder inden for unionen er meget ivrige efter, at disse produkter bliver tilladt så hurtigt som muligt, da man ved, at afprøvningerne har vist, at der er nogen skadevirkninger på fisk eller mennesker."
"with regard to the internal market for services, in particular, i can tell you that it is anticipated that the council will adopt conclusions regarding the report on barriers at the meeting of the competitiveness council on 14-15 november 2002.","with regard to the internal market for services, in particular, i can tell you that it is anticipated that the council will adopt conclusions regarding the report on bariers at the meeting of the competitiveness council on 14-15 november 2002."
"both sides - the coalition and the opposition - and, of course, civil society, too, must understand that internal instability increases the risk and likelihood of further destructive influences from neighbouring states, particularly from the russian federation. thank you for your attention.","both - the coalition and the opposition - and, of course, civil society, too, must understand that internal instability increases the risk and likelihood of further destructive influences from neighbouring states, particularly from the russian federation . thank you for your attention."
"cohesion is the overriding objective in our treaty, it stands over and above emu and that is why we believe that emu and its processes and stages need to be scrutinized to see how they contribute to cohesion policy.","cohesion is the overriding objective in our treaty, it stands over and above emu and that is why we believe shat emu and its processes and stages need to be scrutinized to see how they contribute to cohesion policy."
"eu var med til at udarbejde handlingsplanen for 2010-2014 - som den fuldt ud bakker op om - og som blev vedtaget i cartagena, colombia, ved konferencen om den anden revision af konventionen fra 29. november til 4. december 2009.","eu var med til at udarbejde handlingsplanen for 2010-2014 - som den fuldt ud bakker op om - og som blev vedtaget i cartagena, colombia, ved konferencen om den anden revision af kanonade fra 29. november til 4. december 2009."
"(de) fru formand, fru kommissær, mine damer og herrer! jeg var personligt med i darfur, og jeg var også inde i nabolandet tchad sammen med hr. ribeiro e castro, og jeg kan derfor fuldstændig tilslutte mig det, han sagde.","(de) fru formand, fru kommissær, mine damer og herrer! jeg var personligt med i darfur, og jeg var også inde i nabolandet tchad asmmen med hr. ribeiro e castro, og jeg kan derfor fuldstændig tilslutte mig det, han sagde."
"desuden forbereder rådet også selv sin holdning på basis af disse forslag, så det er også i parlamentets interesse at arbejde ud fra dette grundlag, at give input og følgelig at etablere grundlaget for en forhandlet fælles holdning.","desuden forbereder rådet også sin selv holdning på basis af disse forslag, så det er også i parlamentets interesse at arbejde ud fra dette grundlag, at give input og følgelig at etablere grundlaget for en forhandlet fælles holdning. "
