originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage
"jeg vil gerne komme ind på et sidste punkt: vi må ikke nøjes med at lukke endnu et hul i sikkerhedsnettet og lukke øjnene for, at der stadig er meget mere at gøre i forbindelse med temaet trafiksikkerhed i europa.","i should like to address one final point. we must not content ourselves with sealing another hole in the safety net and shutting our eyes to the fact that, where transport safety in europe is concerned, there is still much more to be done.",Negation,"jeg vil gerne komme ind på et sidste punkt: vi må nøjes med at lukke endnu et hul i sikkerhedsnettet og lukke øjnene for, at der stadig er meget mere at gøre i forbindelse med temaet trafiksikkerhed i europa.",-1,0.9385522307631307,0.979,1.0,0.9696969696969697,0.9846153796165681,0.9736842105263158,0.9487179487179487,0.9610389560398045,1.0,0.9696969696969697,0.9846153796165681,NULL,NULL,da
"betydningen af sikkerhed på veje, jernbaner eller indre vandveje er naturligvis meget stor, og i betragtning af denne transports internationale karakter skal uddannelserne til sikkerhedsrådgivere således også harmoniseres, ligesom kravene i f.eks. den kommende, nye adr-konvention.","needless to say, safety on roads, railways and inland waterways is of key importance and, given the international nature of these types of transport, training for safety advisors should also be harmonised, therefore, as well as the requirements of the new adr, for example, which is under way.",Add random word,"betydningen af sikkerhed på veje, jernbaner eller indre vandveje er naturligvis meget stor, og i betragtning af denne transports krans internationale karakter skal uddannelserne til sikkerhedsrådgivere således også harmoniseres, ligesom kravene i f.eks . den kommende, nye adr-konvention.",-1,0.9391156189585852,0.9976,0.9722222222222222,1.0,0.9859154879587383,0.9459459459459459,0.9722222222222222,0.9589041045899794,0.9722222222222222,1.0,0.9859154879587383,NULL,NULL,da
"det er vigtigt, men det er håndhævelse også, og der er naturligvis en række grunde til, at vi må lægge særlig vægt på dette.","this is important, but so is enforcement and there are, of course, a number of reasons why we need to pay particular attention to this.",Add random word,"det er vigtigt, men det er håndhævelse også, og der er naturligvis en række grunde til, at vi må spore lægge særlig vægt på dette.",-1,0.9074485692010054,0.9963,0.9545454545454546,1.0,0.9767441810492159,0.9130434782608695,0.9545454545454546,0.9333333283358024,0.9545454545454546,1.0,0.9767441810492159,NULL,NULL,da
"eller fragtførere med skibe fra østeuropa, som ligger ved siden af fragtførere her, og hvis farlige situationer kun er alt for tydelige.","or ships from eastern europe which moor adjacent to ships over here, with all the obvious risks that this entails.",Swap characters,"eller fragtførere med skibe fra østeuropa, som ligger ved siden af fragtførere her, og hvis farlgie situationer kun er alt for tydelige.",-1,0.8895260356363631,0.9597,0.9523809523809523,0.9523809523809523,0.9523809473809525,0.9047619047619048,0.9047619047619048,0.9047618997619049,0.9523809523809523,0.9523809523809523,0.9523809473809525,NULL,NULL,da
"arbejdet er der, nu mangler vi bare håndhævelsen.",the work is done. all that remains is the business of enforcement.,Replace Token with Random Word,"arbejdet er der, nu mangler vi bare muræne.",-1,0.7825422900366437,0.8951,0.875,0.875,0.874999995,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.875,0.875,0.874999995,NULL,NULL,da
"det glæder mig, at der også er enighed med rådet om minimumsnormer for deres eksamen, selvom jeg hellere ville have haft, at der var fastlagt ensartede, faste normer og dele, således at eksamensbeviser ville være ens på internationalt plan.","i am very pleased that agreement has also been reached with the council on minimum standards regarding examinations, although i would have preferred it if uniform, set standards and modules had been established, so that certificates would be of equal value internationally.",Replace Character,"det glæder mig, ct der også er enighed med rådet om minimumsnormer for deres eksamen, selvom jeg hellere ville have haft, at der var fastlagt ensartede, faste normer og dele, således at eksamensbeviser ville være ens på internationalt plan.",-1,0.9414356817218077,0.9777,0.9722222222222222,1.0,0.9859154879587383,0.9473684210526315,0.972972972972973,0.9599999950008888,0.9722222222222222,1.0,0.9859154879587383,NULL,NULL,da
jeg vil kun komme med få bemærkninger.,i should like to make just a few comments.,Replace Token with Random Word,jeg vil kun komme merian få bemærkninger.,-1,0.5,0.8648,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.8571428571428571,0.8571428571428571,0.8571428521428571,NULL,NULL,da
"jeg er principielt af den opfattelse, at vi på mange trafikområder bør tilstræbe øget fleksibilitet og bestemmelser for de enkelte lande.","in principle, i believe that in many cases where transport is concerned we should be working towards increased flexibility and country-specific rules.",Duplicate character,"jeg er principielt af den opfattelse, at vi på mange trafikområder bør ttilstræbe øget fleksibilitet og bestemmelser for de enkelte lande.",-1,0.8787419089273848,0.9562,0.9523809523809523,0.9523809523809523,0.9523809473809525,0.9,0.9,0.899999995,0.9523809523809523,0.9523809523809523,0.9523809473809525,NULL,NULL,da
især kan bilag ikke tilpasses i overensstemmelse med den tekniske og industrielle udvikling.,"in particular, annexes cannot be adapted to take account of technical and industrial developments.",Negation,især kan bilag tilpasses i overensstemmelse med den tekniske og industrielle udvikling.,-1,0.7825422900366437,0.9335,1.0,0.9230769230769231,0.959999995008,0.9090909090909091,0.8333333333333334,0.8695652124007562,1.0,0.9230769230769231,0.959999995008,NULL,NULL,da
"jeg beklager dette, for vi skal være aktive, fordi andre ikke har gjort deres arbejde.",i regret this since we are having to take action because others have not done their job.,Negation,"jeg beklager dette, for vi skal være aktive, fordi andre har gjort deres arbejde.",-1,0.8394327083733336,0.9489,1.0,0.9333333333333333,0.9655172363852557,0.9230769230769231,0.8571428571428571,0.8888888838957477,1.0,0.9333333333333333,0.9655172363852557,NULL,NULL,da
"det forslag, som står til diskussion i dag, om en ændring af direktivet om transport af farligt gods ad vej stammer imidlertid fra maj 1999 og kunne således ikke tage højde for den aktuelle komitologiprocedure (forskriftsprocedure).","the proposal to be discussed today, to amend the directive on the transport of dangerous goods by road, dates from may 1999, however, and could not therefore take account of the latest comitology procedure.",Negation,"det forslag, som står til diskussion i dag, om en ændring af direktivet om transport af farligt gods ad vej stammer imidlertid fra maj 1999 og kunne således tage højde for den aktuelle komitologiprocedure (forskriftsprocedure).",-1,0.9353695731020621,0.9779,1.0,0.9705882352941176,0.9850746218667855,0.9705882352941176,0.9428571428571428,0.9565217341314851,1.0,0.9705882352941176,0.9850746218667855,NULL,NULL,da
dette direktiv er et bidrag hertil.,this directive is a contribution to this.,Remove Token,dette direktiv er et hertil.,-1,0.488923022434901,0.8535,1.0,0.8333333333333334,0.9090909041322315,0.75,0.6,0.6666666617283951,1.0,0.8333333333333334,0.9090909041322315,NULL,NULL,da
"hr. formand, den betænkning, som vi behandler her, medfører i sig selv ingen store forandringer.","mr president, the report we are discussing here does not, in itself, entail any major changes.",Replace Token with Random Word,"hr . formand, den betænkning, patrulje vi behandler her, medfører i sig selv ingen store forandringer.",-1,0.8578928092681435,0.9494,0.9333333333333333,0.9333333333333333,0.9333333283333335,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.9333333333333333,0.9333333333333333,0.9333333283333335,NULL,NULL,da
på flere og flere områder indfører vi fælles minimumsregler for medlemslandene.,"in area after area, we are now obtaining common minimum regulations for the member states.",Swap characters,på flere og flere områder indføerr vi fælles minimumsregler for medlemslandene.,-1,0.7348889200874658,0.9139,0.9,0.9,0.899999995,0.8,0.8,0.7999999950000002,0.9,0.9,0.899999995,NULL,NULL,da
"det er meget positivt, og det giver anledning til at takke ordføreren, koch, for det arbejde, som han har udført.","this is extraordinarily positive, and there is cause to thank the rapporteur, mr koch, for the work he has put in on this issue.",Remove Character,"det er meget positivt, og det giver anledning til at akke ordføreren, koch, for det arbejde, som han har udført.",-1,0.8895260356363631,0.9597,0.9444444444444444,0.9444444444444444,0.9444444394444445,0.8947368421052632,0.8947368421052632,0.8947368371052632,0.9444444444444444,0.9444444444444444,0.9444444394444445,NULL,NULL,da
forudsætningerne er forskellige fra medlemsland til medlemsland.,"in many ways, the prerequisites differ from one member state to another.",Swap characters,forudsætningrene er forskellige fra medlemsland til medlemsland.,-1,0.8408964152537145,0.8737,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8333333333333334,0.8333333333333334,0.8333333283333335,0.8333333333333334,0.8333333333333334,0.8333333283333335,NULL,NULL,da
"næste punkt på dagsordenen er betænkning (a5-0108/1999) af schroedter for udvalget om regionalpolitik, transport og turisme om meddelelse fra kommissionen om strukturfondene og deres samordning med samhørighedsfonden - retningslinjer for programmer for perioden 2000-2006 (kom(1999)344 - c5-0122/1999 - 1999/2127(cos)).","the next item is the report (a5-0108/1999) by mrs schroedter, on behalf of the committee on regional policy, transport and tourism, on the communication from the commission in the field of the structural funds and their coordination with the cohesion fund: guidelines for programmes in the period 2000-2006 [com(1999)344 - c5-0122/1999 - 1999/2127(cos)].",Swap characters,"næste punkt på dagsordenen er betænkning (a5-0108/1999) af schroedter for udvalget om regionalpolitik, transport og turisme om emddelelse fra kommissionen om strukturfondene og deres samordning med samhørighedsfonden - retningslinjer for programmer for perioden 2000-2006 (kom(1999)344 - c5-0122/1999 - 1999/2127(cos)).",-1,0.9496952283401919,0.9807,0.96875,0.96875,0.968749995,0.9473684210526315,0.9473684210526315,0.9473684160526316,0.96875,0.96875,0.968749995,NULL,NULL,da
"en stor del af wales har, som mange ved, opnået status som mål 1-område under programmet om strukturfondene.","a major part of wales, as you know, has been granted objective 1 status under the structural funds programme.",Duplicate Token,"en stor stor del af wales har, som mange ved, opnået status som mål 1-område under programmet om strukturfondene.",-1,0.9273488558828634,0.9948,1.0,1.0,0.999999995,0.9444444444444444,1.0,0.9714285664326531,1.0,1.0,0.999999995,NULL,NULL,da
"vi er utilfredse med, at tallene på en eller anden måde har været skjult i tallene for det forenede kongerige.",we are dissatisfied with the fact that those figures seem to have been in some way hidden within uk figures.,Replace Character,"vi er utilfredse med, at tallene på en eller anden måde har været skjult i tallene fob det forenede kongerige.",-1,0.8725129388059689,0.9541,0.9473684210526315,0.9473684210526315,0.9473684160526316,0.8947368421052632,0.8947368421052632,0.8947368371052632,0.9473684210526315,0.9473684210526315,0.9473684160526316,NULL,NULL,da
"alt for meget af det, der foregår i parlamentet, er uigennemsigtigt.",too much of what takes place within this parliament is not transparent.,Replace Token with Random Word,"alt for meget af det, der foregår klore parlamentet, er uigennemsigtigt.",-1,0.7825422900366437,0.9269,0.9090909090909091,0.9090909090909091,0.9090909040909091,0.8,0.8,0.7999999950000002,0.9090909090909091,0.9090909090909091,0.9090909040909091,NULL,NULL,da
"ændringsforslagene afspejler også parlamentets opfattelse af, at social udstødelse er et alvorligt spørgsmål, der bør behandles konstruktivt.",these amendments also fit in with this parliament's view that social exclusion is a serious issue needing constructive action.,Duplicate Token,"ændringsforslagene afspejler også parlamentets opfattelse af, at social udstødelse er et alvorligt spørgsmål, der bør behandles behandles konstruktivt.",-1,0.9088452973719151,0.9945,1.0,1.0,0.999999995,0.9411764705882353,1.0,0.9696969647015611,1.0,1.0,0.999999995,NULL,NULL,da
"for os er det vigtigt, at kommissionen tager hensyn til de konklusioner, der vedtages i parlamentet, som minimum ånden i dem, for på dette niveau kunne det synes, som om vi her udfører et nyttesløst arbejde, ren retorik.","we feel that it is important that the commission takes account of the conclusions adopted by this parliament, at least in spirit, because at this stage, it might seem as though what we are doing here is a useless exercise, and nothing but hot air.",Swap characters,"for os er det vigtigt, at kommissionen tager hensyn til de konklusioner, der vedtages i parlametnet, som minimum ånden i dem, for på dette niveau kunne det synes, som om vi her udfører et nyttesløst arbejde, ren retorik.",-1,0.9414356817218077,0.9777,0.9705882352941176,0.9705882352941176,0.9705882302941177,0.9459459459459459,0.9459459459459459,0.945945940945946,0.9705882352941176,0.9705882352941176,0.9705882302941177,NULL,NULL,da
"hr. formand, det er min pligt at minde min kollega, hr. evans, om, hvorfor wales faktisk har opnået status som mål 1-område.","mr president, it is incumbent upon me to remind my colleague, mr evans, of why wales actually achieved objective 1 status.",Replace Character,"hr. formand, det er min pvigt at minde min kollega, hr. evans, om, hvorfor wales faktisk har opnået status som mål 1-område.",-1,0.9061874434879645,0.9653,0.95,0.95,0.9499999950000001,0.9047619047619048,0.9047619047619048,0.9047618997619049,0.95,0.95,0.9499999950000001,NULL,NULL,da
forhåbentlig kan parlamentets holdninger imidlertid stadig være til hjælp ved midtvejsevalueringen af programmerne og ved den praktiske gennemførelse.,"hopefully, the stands parliament has taken will help, however, in the mid-term appraisal of the programmes and in their practical implementation.",Duplicate Token,forhåbentlig kan parlamentets holdninger imidlertid stadig være til hjælp ved midtvejsevalueringen af programmerne og ved ved den praktiske gennemførelse.,-1,0.903778850827967,0.9901,1.0,1.0,0.999999995,0.9444444444444444,1.0,0.9714285664326531,1.0,1.0,0.999999995,NULL,NULL,da
"i denne fase er det vigtigst at koncentrere sig om at vurdere, hvordan unionens regionalpolitik kan styres, uden at glemme, at det er hensigten at udjævne de regionale uligheder.","at this stage it is more important to concentrate on assessing how we can use this process to steer union regional policy, bearing in mind that the aim is to reduce regional inequality.",Duplicate Token,"i denne fase er det vigtigst at koncentrere sig om at vurdere vurdere, hvordan unionens regionalpolitik kan styres, uden at glemme, at det er hensigten at udjævne de regionale uligheder.",-1,0.945776776063842,0.9969,0.9583333333333334,1.0,0.9787233992575827,0.9310344827586207,0.9642857142857143,0.9473684160541707,0.9583333333333334,1.0,0.9787233992575827,NULL,NULL,da
"af nogle betænkninger, som er blevet forelagt i parlamentet i dag, fremgår det klart, at de 25 mest gunstigt stillede europæiske regioner har fem gange mindre arbejdsløshed end de 25 mindst gunstigt stillede regioner.",it is clear from some of the reports that have been presented to parliament' s plenary sitting today that europe' s 25 most prosperous regions enjoy a level of unemployment which is five times lower than in the 25 least prosperous regions.,Remove Character,"af nogle betænkninger, som er blevet forelagt i parlamentet i dag, fremgår det klart, at de 25 mest gunstgt stillede europæiske regioner har fem gange mindre arbejdsløshed end de 25 mindst gunstigt stillede regioner.",-1,0.9299238452109287,0.9736,0.9655172413793104,1.0,0.9824561353524162,0.9375,0.967741935483871,0.9523809473822121,0.9655172413793104,1.0,0.9824561353524162,NULL,NULL,da
"men jeg mener ikke, at betænkningen kommer for sent.","i do not think, however, that this report has come too late.",Negation,"men jeg mener, at betænkningen kommer for sent.",-1,0.7016879391277372,0.9138,0.875,0.7777777777777778,0.823529406782007,0.7142857142857143,0.625,0.6666666616888889,0.875,0.7777777777777778,0.823529406782007,NULL,NULL,da
det sidste punkt er af stor betydning.,this latter point is of particular importance.,Swap words,det sidste punkt er stor af betydning. ,-1,0.4417918226831577,0.9375,0.875,1.0,0.9333333283555556,0.42857142857142855,0.5,0.4615384565680473,0.75,0.8571428571428571,0.7999999950222222,NULL,NULL,da
"en anden ting, som jeg også gerne vil sige, er, at vi som ordførere for den generelle forordning ville foretrække, sådan som vi har bedt fru mccarthy om, hvis retningslinjerne blev tilføjet forordningen som et bilag.","the second point i would like to make is that we would have preferred it if the guidelines had been added to the regulation in the form of an annex, as we and mrs mccarthy, as rapporteurs for the general regulation, had asked.",Remove Token,"en anden ting, som jeg også gerne vil sige, er, at vi som ordførere for den generelle forordning ville foretrække, sådan som vi bedt fru mccarthy om, hvis retningslinjerne blev tilføjet forordningen som et bilag.",-1,0.9370011451812967,0.9785,1.0,0.96875,0.984126979128244,0.9705882352941176,0.9428571428571428,0.9565217341314851,1.0,0.96875,0.984126979128244,NULL,NULL,da
"det tredje, som jeg gerne vil påpege, er, at vi generelt er enige i retningslinjerne, for så vidt de ikke strider mod de bemærkninger, som vi er fremkommet med. de udgør en betydelig hjælp til medlemsstaterne.","thirdly, we broadly agree on the general guidelines provided they do not deviate from the comments we have made so far.",Negation,"det tredje, som jeg gerne vil påpege, er, at vi generelt er enige i retningslinjerne, for så vidt de strider mod de bemærkninger, som vi er fremkommet med . de udgør en betydelig hjælp til medlemsstaterne.",-1,0.9385522307631307,0.979,1.0,0.967741935483871,0.983606552378393,0.9705882352941176,0.9428571428571428,0.9565217341314851,1.0,0.967741935483871,0.983606552378393,NULL,NULL,da
personligt er jeg i hvert fald fuldstændig enig.,"personally, i at least am totally in favour of the guidelines.",Remove Token,personligt er i hvert fald fuldstændig enig.,-1,0.6606328636027614,0.8919,1.0,0.875,0.9333333283555556,0.8333333333333334,0.7142857142857143,0.7692307642603551,1.0,0.875,0.9333333283555556,NULL,NULL,da
"når det er sagt, vil jeg gerne som øbo udtrykke min bekymring over, at man undervurderer udviklingen på øerne.","as an islander, however, i would like to express my dissatisfaction at the lack of recognition of island development.",Remove Character,"når det er sagt, vil jg gerne som øbo udtrykke min bekymring over, at man undervurderer udviklingen på øerne.",-1,0.8725129388059689,0.9541,0.9473684210526315,0.9473684210526315,0.9473684160526316,0.8888888888888888,0.8888888888888888,0.888888883888889,0.9473684210526315,0.9473684210526315,0.9473684160526316,NULL,NULL,da
"man tillægger dem ikke den vægt, som man burde, og det er ikke første gang, at det sker.",this is not the first time that this issue has not been given the consideration it deserves.,Negation,"man tillægger dem den vægt, som man burde, og det er første gang, at det sker.",-1,0.7389984311706962,0.9159,1.0,0.9333333333333333,0.9655172363852557,0.8666666666666667,0.7647058823529411,0.8124999950195313,1.0,0.9333333333333333,0.9655172363852557,NULL,NULL,da
"det er en gammel historie i de fem år, hvor jeg har været medlem af parlamentet, og jeg har berørt dette emne gentagne gange.","this has been an ongoing concern for the five years that i have been a member of this parliament, and i have raised the issue time and time again.",Swap characters,"det er en gammel historie i de fem rå, hvor jeg har været medlem af parlamentet, og jeg har berørt dette emne gentagne gange.",-1,0.8985396083419646,0.9627,0.9545454545454546,0.9545454545454546,0.9545454495454547,0.9090909090909091,0.9090909090909091,0.9090909040909091,0.9545454545454546,0.9545454545454546,0.9545454495454547,NULL,NULL,da
for det første en harmonisering af de nationale politikker med hensyn til fysisk planlægning og regional udvikling.,the first is the harmonisation of national development policies and regional development policies.,Swap characters,for det første en harmonisering af de nationale politikker med hensyn til fsyisk planlægning og regional udvikling.,-1,0.8394327083733336,0.9437,0.9411764705882353,0.9411764705882353,0.9411764655882354,0.875,0.875,0.874999995,0.9411764705882353,0.9411764705882353,0.9411764655882354,NULL,NULL,da
"vi må således stille os selv det afgørende spørgsmål: hvordan kan vi sørge for, at unionens politikker og de nationale politikker med hensyn til fysisk planlægning danner en helhed.",we must ask ourselves a fundamental question: how can we ensure that union policy interfaces with the subsidiary national policies for regional development?,Replace Token with Random Word,"vi må således stille os selv det afgørende spørgsmål: foster kan vi sørge for, at unionens politikker og de nationale politikker med hensyn til fysisk planlægning danner en helhed.",-1,0.9157103753711766,0.9686,0.9629629629629629,0.9629629629629629,0.9629629579629629,0.9285714285714286,0.9285714285714286,0.9285714235714286,0.9629629629629629,0.9629629629629629,0.9629629579629629,NULL,NULL,da
vi må undgå - som der er tendens til i staterne - at europa forsvinder fuldstændigt.,"europe should not be completely absent, as the states tend to want.",Swap words,vi må undgå som - der er tendens til i staterne - at europa forsvinder fuldstændigt. ,-1,0.7867012086133773,0.9935,0.9375,1.0,0.967741930489074,0.75,0.8,0.7741935433922998,0.875,0.9333333333333333,0.9032258014568159,NULL,NULL,da
imidlertid har strukturfondene bidraget til at bremse denne proces.,"well, the structural funds have helped to apply a brake to this process.",Remove Token,imidlertid har strukturfondene bidraget til at bremse proces.,-1,0.7071067811865475,0.9041,1.0,0.8888888888888888,0.9411764656055364,0.8571428571428571,0.75,0.7999999950222222,1.0,0.8888888888888888,0.9411764656055364,NULL,NULL,da
endelig anmoder vi om en ændring af balancen og metoden til fordeling af midlerne.,"finally, we call for a change to the balance and method by which the funds are disbursed.",Swap words,endelig anmoder vi om en ændring af balancen og metoden fordeling til af midlerne. ,-1,0.7505336182671021,0.9905,0.9285714285714286,1.0,0.9629629579698218,0.7142857142857143,0.7692307692307693,0.7407407357475996,0.8571428571428571,0.9230769230769231,0.8888888838957477,NULL,NULL,da
ansvarlig for alle disse ting er såvel unionens regional- som den mere generelle økonomi- og socialpolitik.,the union' s economic and social policy is just as much to blame for that as its regional policy.,Remove Token,ansvarlig for alle disse ting er såvel unionens som den mere generelle økonomi- og socialpolitik.,-1,0.8282477531331041,0.9458,1.0,0.9375,0.967741930489074,0.9285714285714286,0.8666666666666667,0.8965517191438764,1.0,0.9375,0.967741930489074,NULL,NULL,da
