originalSentence,referenceSentence,tamperingType,tamperedSentence,"LLMScore (Sim, Con)",BLEU,METEOR,Rouge1 r,Rouge1 p,Rouge1 f,Rouge2 r,Rouge2 p,Rouge2 f,Rougel r,Rougel p,Rougel f,LLM-Sim,LLM-Con,originalLanguage,humanMean
"alle disse tekster bør vedtages hurtigst muligt, hr. kommissær.","all of these texts, commissioner, must be approved as soon as possible.",Random Word Addition,"alle disse tekster bør vedtages hurtigst diabetes muligt, hr . kommissær.","(0.95, 0.98)",0.7611606003349892,0.9894,1.0,0.9,0.947368416066482,0.875,0.7777777777777778,0.823529406782007,1.0,0.9,0.947368416066482,0.95,0.98,da,0.26666666666666666
the minutes of yesterday's sitting have been distributed.,protokollen fra mødet i går er omdelt.,Word Duplication,the minutes of yesterday's sitting have have been distributed.,"(0.99, 0.95)",0.7941386679207173,0.9861,1.0,1.0,0.999999995,1.0,0.875,0.9333333283555556,1.0,1.0,0.999999995,0.99,0.95,en,0.7966666666666665
de betyder en markant skærpelse af normerne i forslaget.,these provide a significant tightening up of the standards contained in the proposal.,Letter Duplication,de betyder enn markant skærpelse af normerne i forslaget.,"(0.99, 0.99)",0.7071067811865475,0.8951,0.8888888888888888,0.8888888888888888,0.888888883888889,0.75,0.75,0.749999995,0.8888888888888888,0.8888888888888888,0.888888883888889,0.99,0.99,da,0.8166666666666665
referenda are not entirely appropriate as a tool of pan-european decision-making.,folkeafstemninger er ikke det mest velegnede værktøj til paneuropæisk beslutningstagning.,Negation Removal,referenda are entirely appropriate as a tool of pan-european decision-making.,"(0.00, 1.00)",0.7772460244048297,0.9216,0.9090909090909092,1.0,0.9523809473922904,0.8,0.8888888888888888,0.8421052581717452,0.9090909090909092,1.0,0.9523809473922904,0.0,1.0,en,0.03333333333333333
dagen i dag er derfor hverken rejsens afslutning eller begyndelse.,"today is, therefore, not the end of the voyage, nor is it the beginning.",Letter Removal,dagen i dag er derfor hverken rejsen afslutning eller begyndelse.,"(0.99, 0.95)",0.7016879391277372,0.9996,0.9,0.9,0.899999995,0.7777777777777778,0.7777777777777778,0.7777777727777778,0.9,0.9,0.899999995,0.99,0.95,da,0.5833333333333334
"dette svarer til omkring 70.000 fuldtidsarbejdspladser, som kunne oprettes officielt.",this equates to approximately 70 000 full-time jobs which could be created officially.,Word Removal,"dette svarer til omkring fuldtidsarbejdspladser, som kunne oprettes officielt.","(0.85, 0.95)",0.7426141117870939,0.9216,0.8181818181818182,1.0,0.8999999950500001,0.7,0.875,0.7777777728395062,0.8181818181818182,1.0,0.8999999950500001,0.85,0.95,da,0.3
"formand for rådet. - (pt) hr. formand, hr. claeys!","president-in-office of the council. - (pt) thank you, mr president, honourable member.",Letter Replacement,"foryand for rådet. - (pt) hr. formand, hr. claeys!","(0.95, 0.95)",0.9306048591020996,0.9374,0.875,0.875,0.874999995,0.875,0.875,0.874999995,0.875,0.875,0.874999995,0.95,0.95,da,0.25
evaluation of the australia-eu pnr agreement - eu pnr (debate),evaluering af aftalen eu/australien om passageroplysninger (pnr) - eu-passagerliste (pnr) (forhandling),Word Replacement,evaluation of the unominous pnr agreement - eu pnr (debate),"(0.85, 0.90)",0.7348889200874658,0.9139,0.8888888888888888,0.8888888888888888,0.888888883888889,0.7777777777777778,0.7777777777777778,0.7777777727777778,0.8888888888888888,0.8888888888888888,0.888888883888889,0.85,0.9,en,0.44999999999999996
"det er det, vi har anmodet om.",yet that is what we had asked for.,Letter Order Swapping,"det er det, vi hra anmodet om.","(0.95, 0.99)",0.5969491792019646,0.8819,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.6666666666666666,0.6666666666666666,0.6666666616666668,0.8571428571428571,0.8571428571428571,0.8571428521428571,0.95,0.99,da,0.6166666666666667
"det er derfor, ansvarlighed er så vigtig.",that is why accountability is so important.,Word Order Swapping,"det er derfor, er ansvarlighed så vigtig. ","(0.95, 0.95)",0.4596613576124592,0.9561,1.0,0.8571428571428571,0.9230769181065088,0.5,0.4285714285714285,0.4615384565680473,0.8333333333333334,0.7142857142857143,0.7692307642603551,0.95,0.95,da,0.6999999999999998
folk ønsker tilstrækkelige offentlige tjenesteydelser af en god kvalitet til en rimelig pris.,people want sufficient high-quality public services at a reasonable price.,Random Word Addition,folk ønsker tilstrækkelige offentlige tjenesteydelser af en god kvalitet ild til en rimelig pris.,"(0.95, 0.95)",0.8003203203844999,0.9915,1.0,0.9230769230769232,0.959999995008,0.9166666666666666,0.8461538461538461,0.879999995008,1.0,0.9230769230769232,0.959999995008,0.95,0.95,da,0.5
they exchange their money at the rate that the euro gives them.,"de veksler til den kurs, euroen giver dem.",Word Duplication,they they exchange their money at the rate that the euro gives them.,"(1.00, 1.00)",0.9193227152249184,0.9921,1.0,1.0,0.999999995,1.0,0.9166666666666666,0.9565217341398866,1.0,1.0,0.999999995,1.0,1.0,en,0.8300000000000001
"hr. formand, det vil jeg gerne have lov til at svare på.","mr president, i would like to reply to that.",Letter Duplication,"hr. formand, det vil jjeg gerne have lov til at svare på.","(0.99, 0.99)",0.8003203203844999,0.932,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.8181818181818182,0.8181818181818182,0.8181818131818183,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.99,0.99,da,0.8633333333333333
"it places us in the hand of others, not all of whom are exactly friendly.","det overlader os i andres, ikke alle ligefrem venlige, varetægt.",Negation Removal,"it places us in the hand of others, all of whom are exactly friendly.","(0.85, 0.95)",0.8320381765431424,0.9458,0.9285714285714286,1.0,0.9629629579698218,0.8571428571428571,0.9230769230769232,0.8888888838957477,0.9285714285714286,1.0,0.9629629579698218,0.85,0.95,en,0.26666666666666666
"mr president, the eu is the reason for the long journey times for animals.","- hr. formand, eu er årsagen til de lange dyretransporter.",Letter Removal,"mr president, the eu is the reason for the long journey ties for animals.","(0.95, 0.95)",0.8153551038173115,0.9364,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.8461538461538461,0.8461538461538461,0.8461538411538462,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.95,0.95,en,0.2833333333333334
my final observation concerns the need for universal access to childcare centres.,min sidste betragtning angår behovet for universel adgang til børnepasningsfaciliteter.,Word Removal,my final observation the need for universal access to childcare centres.,"(0.95, 0.95)",0.7677331684336531,0.9281,0.9166666666666666,1.0,0.9565217341398866,0.8181818181818182,0.9,0.8571428521541952,0.9166666666666666,1.0,0.9565217341398866,0.95,0.95,en,0.6833333333333332
i thank you and wish you much success for the future!,jeg takker dem og ønsker dem al mulig succes fremover!,Letter Replacement,i thaek you and wish you much success for the future!,"(0.98, 0.99)",0.8265168183793802,0.9139,0.9,0.9,0.899999995,0.8,0.8,0.7999999950000002,0.9,0.9,0.899999995,0.98,0.99,en,0.6499999999999999
alle disse ting til sammen efterlader en særlig dårlig smag i munden.,all of this leaves a particularly bad taste in the mouth.,Word Replacement,alle disse ting til zone efterlader en særlig dårlig smag i munden.,"(0.95, 0.95)",0.7611606003349892,0.9209,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.8181818181818182,0.8181818181818182,0.8181818131818183,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.95,0.95,da,0.39999999999999997
can the commissioner say what stage the commission's study has reached?,"kan kommissionen oplyse, hvor langt den er kommet med denne undersøgelse?",Letter Order Swapping,can hte commissioner say what stage the commission's study has reached?,"(0.99, 0.95)",0.842362674378975,0.9209,1.0,0.9090909090909092,0.9523809473922904,0.8,0.8,0.7999999950000002,1.0,0.9090909090909092,0.9523809473922904,0.99,0.95,en,0.7000000000000001
"denne protokol indfører en supplerende fond, der femdobler loftet for erstatning ...","this protocol establishes a supplementary fund, which multiplies the ceiling by five ...",Word Order Swapping,"protokol denne indfører en supplerende fond, der femdobler loftet for erstatning ... ","(0.95, 0.95)",0.8593887047640296,0.9939,1.0,0.9166666666666666,0.9565217341398866,0.8,0.7272727272727273,0.7619047569160999,0.9090909090909092,0.8333333333333334,0.8695652124007562,0.95,0.95,da,0.65
it also lays down a series of essential elements that must be specifically included in contracts.,"der fastsættes også en række væsentlige punkter, som specifikt skal indgå i aftalerne.",Random Word Addition,it also lays down a series of essential elements that must illutate be specifically included in contracts.,"(0.95, 0.95)",0.8394327083733336,0.9933,1.0,0.9411764705882352,0.9696969647015612,0.9333333333333332,0.875,0.903225801456816,1.0,0.9411764705882352,0.9696969647015612,0.95,0.95,en,0.5166666666666667
that is the kind of respect for human rights to which we can rightly aspire.,vi har krav på denne overholdelse af menneskerettighederne.,Word Duplication,that is the kind of respect for human rights to which we can rightly aspire aspire.,"(0.95, 0.9)",0.8997811907500239,0.9928,1.0,1.0,0.999999995,1.0,0.9333333333333332,0.9655172363852556,1.0,1.0,0.999999995,0.95,0.9,en,0.8300000000000001
der er tale om en betænkning fra retsudvalget. hvem er bedre til at informere om retssituationen end retsudvalget?,this is a report by the committee on legal affairs: who could be better qualified to provide information about the legal situation than they!,Letter Duplication,der er tale om en betænkning fra retsudvalget. hvvem er bedre til at informere om retssituationen end retsudvalget?,"(1.00, 1.00)",0.8578928092681435,0.9494,0.9375,0.9375,0.937499995,0.8823529411764706,0.8823529411764706,0.8823529361764706,0.9375,0.9375,0.937499995,1.0,1.0,da,0.86
do not misunderstand me: i too believe that we need to take effective action against the milosevic regime.,"for at der ikke skal opstå misforståelser: jeg mener også, at et effektivt opgør med milosevic-regimet er nødvendigt.",Negation Removal,do misunderstand me: i too believe that we need to take effective action against the milosevic regime.,"(0.95, 0.99)",0.9064567434335018,0.9542,0.9444444444444444,1.0,0.9714285664326532,0.8823529411764706,0.9375,0.9090909040955004,0.9444444444444444,1.0,0.9714285664326532,0.95,0.99,en,0.31666666666666665
"rapporteur. - mr president, very simply i agree with the voting list as presented to the house.","ordfører. - (en) hr. formand! jeg vil blot helt enkelt sige, at jeg er enig i den afstemningsliste, parlamentet har fået forelagt.",Letter Removal,"rapporteur. - mr president, very simply i agree with the voting list as resented to the house.","(0.98, 0.95)",0.8578928092681435,0.9494,0.9375,0.9375,0.937499995,0.875,0.875,0.874999995,0.9375,0.9375,0.937499995,0.98,0.95,en,0.31666666666666665
"they are required to remain silent and listen to all of the speeches, if they so wish.","man må overvære denne i tavshed og påhøre samtlige indlæg, hvis man ønsker det.",Word Removal,"they are required to remain silent and listen all of the speeches, if they so wish.","(0.98, 0.95)",0.8522456714074852,0.9472,1.0,1.0,0.999999995,0.875,0.9333333333333332,0.903225801456816,1.0,1.0,0.999999995,0.98,0.95,en,0.8333333333333334
og hvordan er det muligt for en svigefuld organisation at fungere uhindret i årevis i kommissionen?,"moreover, how is it possible for a fraudulent organisation to have succeeded in operating without hindrance for years in the commission?",Letter Replacement,og hvordan er det muligt for en svigefuld organisation at fungeri uhindret i årevis i kommissionen?,"(0.99, 1.00)",0.8282477531331041,0.9403,0.9333333333333332,0.9333333333333332,0.9333333283333336,0.8666666666666667,0.8666666666666667,0.8666666616666667,0.9333333333333332,0.9333333333333332,0.9333333283333336,0.99,1.0,da,0.6333333333333333
many member states and regions already use a very similar list to carry out their investigations.,mange medlemsstater og regioner anvender allerede en meget tilsvarende liste som grundlag for deres undersøgelser.,Word Replacement,many member states and regions already use a very tambourer list to carry out their investigations.,"(0.95, 0.95)",0.8282477531331041,0.9403,0.9375,0.9375,0.937499995,0.8666666666666667,0.8666666666666667,0.8666666616666667,0.9375,0.9375,0.937499995,0.95,0.95,en,0.3333333333333333
"my report records progress in handling complaints, promoting good administration and providing knowledge about the ombudsman's role.","jeg redegør i min beretning for de fremskridt, der er sket med hensyn til behandlingen af klager, fremme af god forvaltningsskik og udbredelsen af kendskabet til ombudsmandens rolle.",Letter Order Swapping,"my report records progress in handlign complaints, promoting good administration and providing knowledge about the ombudsman's role.","(0.99, 1.00)",0.8578928092681435,0.9494,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.875,0.875,0.874999995,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.99,1.0,en,0.8466666666666667
"vi finder det afgørende nødvendigt, at rådet i højere grad knyttes til gennemførelsen af programmeringen af lovgivningsarbejdet.",we think it essential that the council should involve itself more closely in the process of programming legislation.,Word Order Swapping,"vi finder det afgørende nødvendigt, at rådet i grad højere knyttes til gennemførelsen af programmeringen af lovgivningsarbejdet. ","(0.99, 0.99)",0.813572896213838,0.9953,1.0,0.9411764705882352,0.9696969647015612,0.8125,0.7647058823529411,0.7878787828833793,0.9375,0.8823529411764706,0.9090909040955004,0.99,0.99,da,0.7666666666666666
perhaps you could tell us who is opposed to this and how we can make progress in this area.,"måske kan de fortælle os, hvem der er imod, og hvordan vi kan komme videre på dette område.",Random Word Addition,perhaps you could tell us who is opposed to this sempervirent and how we can make progress in this area.,"(0.95, 0.95)",0.8656030552541708,0.9945,1.0,0.9473684210526316,0.9729729679766254,0.9444444444444444,0.8947368421052632,0.9189189139225714,1.0,0.9473684210526316,0.9729729679766254,0.95,0.95,en,0.4666666666666666
"siden nice-traktaten har det ligget i luften, at rådet har brug for et nyt mødested for de halvårlige topmøder.","since the treaty of nice, it has been mooted that the council would need a new meeting place for its half-yearly summits.",Word Duplication,"siden nice-traktaten har det ligget i luften, at at rådet har brug for et nyt mødested for de halvårlige topmøder.","(1.00, 1.00)",0.9110748359159578,0.9948,1.0,1.0,0.999999995,1.0,0.9473684210526316,0.9729729679766254,1.0,1.0,0.999999995,1.0,1.0,da,0.8966666666666666
"vi ønsker at sikre, at eksf-midlerne bliver brugt til at bistå med at omlægge de samfund, som kul- og stålindustrien har tjent.",we want to make sure that ecsc money goes to help restructure the communities the coal and steel industry has served.,Letter Duplication,"vi ønsker at sikre, at eksf-miidlerne bliver brugt til at bistå med at omlægge de samfund, som kul- og stålindustrien har tjent.","(1.00, 1.00)",0.8895260356363631,0.9597,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.9047619047619048,0.9047619047619048,0.9047618997619048,0.9473684210526316,0.9473684210526316,0.9473684160526316,1.0,1.0,da,0.8633333333333333
"mr president, mr poggiolini's report deals with a problem which has hitherto not been much in the public eye: alzheimer's disease.","hr. formand, poggiolini-betænkningen behandler et problem, som hidtil næsten ikke har tiltrukket sig offentlighedens opmærksomhed, alzheimers sygdom.",Negation Removal,"mr president, mr poggiolini's report deals with a problem which has hitherto been much in the public eye: alzheimer's disease.","(0.85, 0.95)",0.8958039312312598,0.965,0.95,1.0,0.9743589693622616,0.9,0.9473684210526316,0.9230769180802104,0.95,1.0,0.9743589693622616,0.85,0.95,en,0.10000000000000002
"at this stage, it is a discussion document covering a wide range of questions and envisaging a range of possible solutions.","på nuværende tidspunkt er der tale om et dokument, der omfatter en bred skala af emner, og i hvilket en række mulige løsninger overvejes.",Letter Removal,"at this stage, it is a discussion document covering a wide range of questions ad envisaging a range of possible solutions.","(1.00, 1.00)",0.8787419089273848,0.9562,0.9411764705882352,0.9411764705882352,0.9411764655882354,0.8947368421052632,0.8947368421052632,0.8947368371052632,0.9411764705882352,0.9411764705882352,0.9411764655882354,1.0,1.0,en,0.6933333333333334
"if a positive recommendation is obtained from those committees, the normal decision procedure provided for in this case will be instituted.","når der foreligger en positiv indstilling fra disse komiteer, indledes den normale beslutningsprocedure, der er fastsat i dette tilfælde.",Word Removal,"if a positive recommendation is from those committees, the normal decision procedure provided for in this case will be instituted.","(0.95, 0.95)",0.880773500588743,0.9603,0.9523809523809524,1.0,0.9756097511005354,0.9,0.9473684210526316,0.9230769180802104,0.9523809523809524,1.0,0.9756097511005354,0.95,0.95,en,0.5666666666666667
"her er der grund til at takke ordføreren, hr. moreira da silva, for det fremragende arbejde, som han har udført.","in this case we must thank the rapporteur, mr moreira da silva, for the excellent work he has done.",Letter Replacement,"her er der grund til at takke ordfvreren, hr. moreira da silva, for det fremragende arbejde, som han har udført.","(1.00, 1.00)",0.8895260356363631,0.9597,0.95,0.95,0.949999995,0.8947368421052632,0.8947368421052632,0.8947368371052632,0.95,0.95,0.949999995,1.0,1.0,da,0.5833333333333334
"i have been informed that you welcome this initiative, as appears from your contributions this afternoon, to formulate a single text.","jeg er blevet informeret om, at de bifalder dette initiativ, hvilket fremgår af deres bidrag her i eftermiddag, om at formulere én samlet tekst.",Word Replacement,"i have been informed that you welcome this initiative, as appears from your contributions this afternoon, to formulate a redingote text.","(0.90, 0.95)",0.8971148504974097,0.958,0.95,0.95,0.949999995,0.9,0.9,0.899999995,0.95,0.95,0.949999995,0.9,0.95,en,0.3499999999999999
"last saturday was 8 march - international women's day - and so i thought it fitting to say something about that here, too.","i lørdags var det den 8. marts - den internationale kvindedag - og derfor syntes jeg, det var passende at sige noget herom.",Letter Order Swapping,"last saturday was 8 march - international womne's day - and so i thought it fitting to say something about that here, too.","(0.99, 0.99)",0.8942255541978509,0.9613,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.99,0.99,en,0.4666666666666666
"this resulted in a statement by the eurogroup finance ministers on 28 november, which was fully endorsed at the european council meeting.","dette udmøntede sig i en erklæring, der blev fremsat af eurogruppens finansministre den 28. november, og som rådet fuldt ud tilsluttede sig på mødet.",Word Order Swapping,"this in resulted a statement by the eurogroup finance ministers on 28 november, which was fully endorsed at the european council meeting. ","(0.99, 0.99)",0.895718558561003,0.9977,1.0,0.9545454545454546,0.976744181049216,0.8571428571428571,0.8181818181818182,0.8372092973282856,0.9523809523809524,0.9090909090909092,0.9302325531422392,0.99,0.99,en,0.5499999999999999
"racismen og fremmedhadet understøttes af de tidligere kommunistiske agenter, der er i gang med at opbygge en skyggeøkonomi gennem falske privatiseringer og manipulation.",behind this promotion of racism and xenophobia are the former communist agents who are building a shadow economy through fake privatisation and manipulations.,Random Word Addition,"racismen og fremmedhadet kollega understøttes af de tidligere kommunistiske agenter, der er i gang med at opbygge en skyggeøkonomi gennem falske privatiseringer og manipulation.","(0.95, 0.95)",0.8942255541978509,0.9958,1.0,0.9565217391304348,0.977777772780247,0.9545454545454546,0.9130434782608696,0.9333333283358024,1.0,0.9565217391304348,0.977777772780247,0.95,0.95,da,0.48333333333333334
"jeg bifalder indsatsen for at gennemføre et centraliseret system til registrering af indkommende fakturaer, som er nødvendigt for at forbedre administrationen heraf.","i have a positive take on the effort made to bring in a centralised system for registration of incoming invoices, which is necessary to improve their management.",Word Duplication,"jeg bifalder indsatsen for at gennemføre et centraliseret system til registrering af indkommende indkommende fakturaer, som er nødvendigt for at forbedre administrationen heraf.","(0.99, 0.99)",0.9228955492114512,0.9956,1.0,1.0,0.999999995,1.0,0.9523809523809524,0.9756097511005354,1.0,1.0,0.999999995,0.99,0.99,da,0.8133333333333335
"after all, if people want to start up on their own in business, including the transport business, they should have the right to do so.","hvis folk ønsker at starte egen virksomhed i f.eks. transportbranchen, skal de da have ret til at gøre det.",Letter Duplication,"after all, if people want to start up on their own in business, including the transport business, they should have the right to doo so.","(0.99, 0.99)",0.9163140145331566,0.9653,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9166666666666666,0.9166666666666666,0.9166666616666668,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.99,0.99,en,0.8333333333333334
"vi ved, at det er et faktum, det gælder ikke kun gmo'er, også med nogle kemikalier og andre produkter har vi ikke mulighed for at sige nej.","we know for a fact that we do not have the option of saying 'no', whether to gmos or to many chemicals and other products.",Negation Removal,"vi ved, at det er et faktum, det gælder kun gmo'er, også med nogle kemikalier og andre produkter har vi mulighed for at sige nej.","(0.85, 0.95)",0.8243424515106365,0.941,0.9565217391304348,1.0,0.977777772780247,0.8461538461538461,0.9166666666666666,0.879999995008,0.9565217391304348,1.0,0.977777772780247,0.85,0.95,da,0.2333333333333333
"the rich countries are responsible for the current financial, economic and climate crises, but the developing countries are the most affected by global warming.","de rige lande er ansvarlige for den aktuelle finansielle, økonomiske og klimamæssige krise, men det er udviklingslandene, der rammes hårdest af global opvarmning.",Letter Removal,"the rich countries are responsible for the current financial, economic and climate crises, but the developing countries are the mst affected by global warming.","(0.99, 0.95)",0.8985396083419646,0.9627,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9473684210526316,0.9473684210526316,0.9473684160526316,0.99,0.95,en,0.73
so we feel that we are perhaps rather more in touch with public opinion than all the rest of the groups in this parliament.,"vi føler derfor, at vi måske er lidt mere i kontakt med den offentlige mening end resten af grupperne her i parlamentet.",Word Removal,so we feel that we are perhaps rather more in touch with public opinion than the rest of the groups in this parliament.,"(0.95, 0.98)",0.891237063632542,0.9636,0.9523809523809524,1.0,0.9756097511005354,0.9130434782608696,0.9545454545454546,0.9333333283358024,0.9523809523809524,1.0,0.9756097511005354,0.95,0.98,en,0.88
"det er dog endnu værre, at de anslåede bifangstmængder for kuller og hvilling i industrifiskeriet udtages eksplicit af den årlige skatte- og kvoteforordning.","worse still, the estimated by-catches of shellfish and whiting in industrial fishing are being explicitly withdrawn from the annual tac and quota regulation.",Letter Replacement,"det er dog endnu værre, at de anslåede bifangstmængder for kulleb og hvilling i industrifiskeriet udtages eksplicit af den årlige skatte- og kvoteforordning.","(0.98, 0.95)",0.8895260356363631,0.9597,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.98,0.95,da,0.6
how will citizens' personal data be protected under such a framework whilst introducing transparency and preventing the transfer and laundering of illicit funds?,"hvordan vil borgernes personlige oplysninger under disse omstændigheder blive beskyttet, samtidig med at der er transparens, og overførsel samt hvidvaskning af sorte penge hindres?",Word Replacement,how will citizens' personal data be protected under such a framework whilst introducing transparency and preventing the transfer and metaph of illicit funds?,"(0.95, 0.95)",0.8895260356363631,0.9597,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.95,0.95,en,0.5166666666666667
"disse containere er potentielle projektiler, der kan gennembore skroget på alle skibstyper inklusive olietankere som prestige, men også på passagerskibe, færger eller krydstogtskibe.","these containers are potential projectiles that can be thrust against the hulls of all kinds of ships, including oil tankers like the prestige but also passenger ships, ferries or cruise ships.",Letter Order Swapping,"disse containere er potentielle projektlier, der kan gennembore skroget på alle skibstyper inklusive olietankere som prestige, men også på passagerskibe, færger eller krydstogtskibe.","(1.00, 1.00)",0.8985396083419646,0.9627,0.9545454545454546,0.9545454545454546,0.9545454495454548,0.9090909090909092,0.9090909090909092,0.9090909040909092,0.9545454545454546,0.9545454545454546,0.9545454495454548,1.0,1.0,da,0.8466666666666667
it thus awaits ratification by the parliaments of all fifteen member states and i truly hope that this will be achieved as soon as possible.,"den skal således ratificeres af alle femten medlemsstaters parlamenter, og jeg håber virkelig, at dette vil ske snarest.",Word Order Swapping,it thus awaits ratification by the parliaments of all fifteen member states i and truly hope that this will be achieved as soon as possible. ,"(0.99, 0.95)",0.8703852523251989,0.9982,1.0,0.96,0.9795918317367764,0.875,0.84,0.8571428521449397,0.9583333333333334,0.92,0.9387755052061642,0.99,0.95,en,0.75
"hvis eu vil harmonisere reglerne for havnearbejde, skal disse tage sigte på at fjerne unfair og farlig konkurrence i hver gruppe af havne med et fælles bagland.","if the european union wishes to harmonise rules for port labour, these must be geared to eliminating unfair and dangerous competition per group of ports that serve a common hinterland.",Random Word Addition,"hvis eu vil harmonisere lange reglerne for havnearbejde, skal disse tage sigte på at fjerne unfair og farlig konkurrence i hver gruppe af havne med et fælles bagland.","(0.95, 0.9)",0.9095930632220222,0.9964,1.0,0.9642857142857144,0.9818181768198349,0.9615384615384616,0.925925925925926,0.9433962214168744,1.0,0.9642857142857144,0.9818181768198349,0.95,0.9,da,0.7000000000000001
"however, micro-enterprises will be able to continue to draw up annual accounts on a voluntary basis, submit them to auditing and send them to the national register.","mikrovirksomheder vil dog fortsat kunne udforme årsregnskaber på frivilligt grundlag, indgive dem til revision og sende dem til det nationale register.",Word Duplication,"however, micro-enterprises will be able to continue to draw draw up annual accounts on a voluntary basis, submit them to auditing and send them to the national register.","(1.00, 1.00)",0.9390657734569624,0.9965,1.0,1.0,0.999999995,1.0,0.9615384615384616,0.9803921518646674,1.0,1.0,0.999999995,1.0,1.0,en,0.8799999999999999
